"species","plot","abundance"
"Jovibarba globifera","Plot_2",13
"Jovibarba globifera","Plot_3",3
"Jovibarba globifera","Plot_5",3
"Jovibarba globifera","Plot_7",2
"Jovibarba globifera","Plot_9",2
"Jovibarba globifera","Plot_13",2
"Jovibarba globifera","Plot_15",3
"Jovibarba globifera","Plot_18",3
"Jovibarba globifera","Plot_21",3
"Jovibarba globifera","Plot_22",13
"Jovibarba globifera","Plot_24",2
"Jovibarba globifera","Plot_25",13
"Jovibarba globifera","Plot_27",2
"Jovibarba globifera","Plot_28",38
"Jovibarba globifera","Plot_30",38
"Jovibarba globifera","Plot_40",38
"Jovibarba globifera","Plot_44",13
"Lactuca muralis","Plot_11",1
"Lactuca muralis","Plot_18",2
"Lactuca muralis","Plot_24",3
"Arabidopsis arenosa aggr.","Plot_2",2
"Arabidopsis arenosa aggr.","Plot_3",1
"Arabidopsis arenosa aggr.","Plot_11",2
"Arabidopsis arenosa aggr.","Plot_17",2
"Arabidopsis arenosa aggr.","Plot_21",2
"Arabidopsis arenosa aggr.","Plot_22",3
"Arabidopsis arenosa aggr.","Plot_24",2
"Arabidopsis arenosa aggr.","Plot_46",1
"Arabidopsis arenosa aggr.","Plot_47",1
"Poa compressa","Plot_16",2
"Poa compressa","Plot_30",38
"Poa compressa","Plot_34",2
"Poa compressa","Plot_35",13
"Poa compressa","Plot_36",3
"Poa compressa","Plot_39",2
"Poa compressa","Plot_41",3
"Poa compressa","Plot_44",13
"Poa compressa","Plot_45",13
"Poa compressa","Plot_46",1
"Poa compressa","Plot_47",1
"Poa compressa","Plot_48",13
"Poa compressa","Plot_49",1
"Achillea millefolium aggr.","Plot_16",2
"Achillea millefolium aggr.","Plot_36",2
"Achillea millefolium aggr.","Plot_38",1
"Achillea millefolium aggr.","Plot_39",1
"Achillea millefolium aggr.","Plot_41",3
"Achillea millefolium aggr.","Plot_43",13
"Achillea millefolium aggr.","Plot_47",1
"Achillea millefolium aggr.","Plot_49",1
"Achillea millefolium aggr.","Plot_50",2
"Plantago media","Plot_46",1
"Plantago media","Plot_49",1
"Clinopodium acinos","Plot_1",3
"Clinopodium acinos","Plot_4",2
"Clinopodium acinos","Plot_20",2
"Clinopodium acinos","Plot_27",2
"Clinopodium acinos","Plot_35",38
"Clinopodium acinos","Plot_36",13
"Clinopodium acinos","Plot_37",38
"Clinopodium acinos","Plot_38",3
"Clinopodium acinos","Plot_39",1
"Clinopodium acinos","Plot_40",2
"Clinopodium acinos","Plot_41",3
"Clinopodium acinos","Plot_42",2
"Clinopodium acinos","Plot_44",3
"Clinopodium acinos","Plot_45",1
"Clinopodium acinos","Plot_46",3
"Clinopodium acinos","Plot_47",3
"Clinopodium acinos","Plot_49",1
"Clinopodium acinos","Plot_50",3
"Pilosella officinarum","Plot_36",3
"Pilosella officinarum","Plot_38",1
"Pilosella officinarum","Plot_39",1
"Pilosella officinarum","Plot_40",2
"Pilosella officinarum","Plot_41",2
"Pilosella officinarum","Plot_43",2
"Pilosella officinarum","Plot_49",1
"Anthyllis vulneraria","Plot_38",1
"Rostraria cristata","Plot_47",1
"Enchylium tenax","Plot_39",1
"Enchylium tenax","Plot_47",13
"Enchylium tenax","Plot_49",1
"Syntrichia ruralis","Plot_6",2
"Syntrichia ruralis","Plot_17",2
