genus,name,date,habitat,ecol
Pluteus,Pluteus leoninus,2007-06-22,T3.1,Le
Pluteus,Pluteus atromarginatus,2007-06-30,T1.2,Le
Gymnopus,Gymnopus peronatus,2007-07-01,UW1.1,St
Gymnopus,Gymnopus peronatus,2007-07-01,UW1.1,St
Gymnopus,Gymnopus peronatus,2007-07-12,UW1.1,St
Gymnopus,Gymnopus dryophilus,2007-08-24,UW1.3,St
Marasmius,Marasmius sp.,2007-09-01,UW1.1,St
Calocybe,Calocybe sp.,2007-09-16,UW1.3,St
Mycena,Mycena inclinata,2007-09-18,UW1.3,Le
Gymnopus,Gymnopus confluens,2007-09-18,UW1.3,St
Marasmius,Marasmius scorodonius,2007-09-18,UW1.3,St
Pluteus,Pluteus cervinus,2007-09-18,UW1.3,Le
Laccaria,Laccaria laccata,2007-09-22,UW4.1,Mr
Conocybe,Conocybe sp.,2007-09-22,UW4.1,Hu
Psathyrella,Psathyrella sp.,2007-09-22,UW4.1,Hu
Mycena,Mycena rosea,2007-09-22,UW4.1,St
Stropharia,Stropharia aeruginosa,2007-09-22,UW4.1,Hu
Lepiota,Lepiota sp.,2007-09-22,UW4.1,Hu
Psathyrella,Psathyrella sp.,2007-09-22,UW4.1,Hu
Mycena,Mycena sp.,2007-09-22,UW4.1,Fd
Melanoleuca,Melanoleuca sp.,2007-09-22,UW1.1,Hu
Mycena,Mycena vitilis,2007-09-22,UW1.1,Lh
Pluteus,Pluteus sp.,2007-09-22,UW1.1,Lh
Mycena,Mycena sp.,2007-09-22,UW1.1,Le
Lepiota,Lepiota cristata,2007-09-22,UW1.1,Hu
Entoloma,Entoloma sp.,2007-09-22,UW1.1,Mr
Tubaria,Tubaria sp.,2007-09-22,UW1.1,Le
Macrolepiota,Macrolepiota konradii,2007-09-22,UW1.1,Hu
Mycena,Mycena galericulata,2007-09-22,UW1.1,Mr
Lepiota,Lepiota cristata,2007-09-22,UW1.1,Hu
Agaricus,Agaricus sp.,2007-09-22,UW1.1,Hu
Gymnopus,Gymnopus peronatus,2007-09-22,UW1.1,St
Pluteus,Pluteus sp.,2007-09-22,UW1.1,Le
Gymnopus,Gymnopus peronatus,2007-09-22,UW1.1,St
Clitocybe,Clitocybe odora,2007-09-22,UW1.1,St
Agaricus,Agaricus sp.,2007-09-22,UW1.1,Hu
Agaricus,Agaricus sp.,2007-09-22,UW1.1,Hu
Lepiota,Lepiota cristata,2007-09-22,UW1.1,Hu
Mycena,Mycena sp.,2007-09-22,UW1.1,Fd
Lepiota,Lepiota sp.,2007-09-22,UW1.1,Hu
Lepiota,Lepiota sp.,2007-09-22,UW1.1,Hu
Marasmius,Marasmius cochaerens,2007-09-22,UW1.1,St
Megacollybia,Megacollybia platyphylla,2007-09-22,UW1.1,Lh
Mycena,Mycena galericulata,2007-09-22,UW1.1,Lh
Coprinopsis,Coprinopsis picacea,2007-09-22,UW1.1,Hu
Clitocybe,Clitocybe sp.,2007-09-22,UW1.1,St
Mycena,Mycena polygramma,2007-09-22,UW1.1,Lh
Mycena,Mycena renati,2007-09-22,UW1.1,Le
Pholiota,Pholiota tuberculosa,2007-09-22,UW1.1,Le
Agaricus,Agaricus sp.,2007-09-22,UW1.1,Hu
Mycena,Mycena olivaceomarginata,2007-09-22,T1.2,Hu
Inocybe,Inocybe lacera var. lacera,2007-09-22,E3.1,Mr
Lepiota,Lepiota sp.,2007-09-22,UW1.1,Hu
Leucoagaricus,Leucoagaricus sp.,2007-09-22,A2.5,Hu
Leucoagaricus,Leucoagaricus sp.,2007-09-22,A2.5,Hu
Inocybe,Inocybe langei,2007-09-22,UW1.1,Mr
Leucoagaricus,Leucoagaricus crystallifer,2007-09-22,UW1.1,Hu
Psathyrella,Psathyrella sp.,2007-09-22,UW1.1,Hu
Tricholoma,Tricholoma portentosum,2007-10-01,T2.3,Mr
Myxomphalia,Myxomphalia maura,2007-10-01,T7.1,Hu
Lepiota,Lepiota sp.,2007-10-06,UW1.3,Hu
Mycena,Mycena pura,2007-10-06,UW1.3,St
Mycena,Mycena galericulata,2007-10-06,UW1.3,Le
Rhodocollybia,Rhodocollybia butyracea f. butyracea,2007-10-06,UW1.3,St
Clitocybe,Clitocybe sp.,2007-10-06,UW1.3,St
Mycena,Mycena sp.,2007-10-06,UW1.3,St
Mycena,Mycena galericulata,2007-10-06,UW1.3,Le
Gymnopus,Gymnopus peronatus,2007-10-06,UW1.3,St
Rhodocollybia,Rhodocollybia butyracea f. butyracea,2007-10-06,UW1.3,St
Clitocybe,Clitocybe nebularis,2007-10-06,UW1.3,St
Macrolepiota,Macrolepiota procera,2007-10-06,UW1.3,Hu
Lepista,Lepista flaccida,2007-10-06,UW1.3,St
Macrolepiota,Macrolepiota procera,2007-10-06,UW1.3,Hu
Leucoagaricus,Leucoagaricus sp.,2007-10-06,UW1.3,sward
Mycena,Mycena pura,2007-10-06,UW1.3,St
Pseudoclitocybe,Pseudoclitocybe cyathiformis,2007-10-06,UW1.3,St
Clitocybe,Clitocybe sp.,2007-10-06,UW1.3,St
Macrolepiota,Macrolepiota procera,2007-10-06,UW1.3,Hu
Macrolepiota,Macrolepiota procera,2007-10-06,UW1.3,Hu
Lepista,Lepista flaccida,2007-10-06,UW1.3,St
Psathyrella,Psathyrella sp.,2007-10-13,UW1.1,Hu
Clitocybe,Clitocybe nebularis,2007-10-13,UW1.1,St
Armillaria,Armillaria mellea,2007-10-13,UW1.1,Lh
Clitocybe,Clitocybe odora,2007-10-13,UW1.1,St
Hypholoma,Hypholoma sp.,2007-10-13,UW1.1,Le
Stropharia,Stropharia aeruginosa,2007-10-13,UW1.1,Hu
Psathyrella,Psathyrella sp.,2007-10-13,UW1.1,Hu
Lepiota,Lepiota sp.,2007-10-13,UW1.1,St
Mycena,Mycena sp.,2007-10-13,UW1.1,St
Pseudoclitocybe,Pseudoclitocybe cyathiformis,2007-10-13,UW1.1,Hu
Leucoagaricus,Leucoagaricus sp.,2007-10-13,UW1.1,St
Entoloma,Entoloma sp.,2007-10-13,UW1.1,Mr
Inocybe,Inocybe geophylla var. lilacina,2007-10-13,UW1.1,Mr
Laccaria,Laccaria laccata,2007-10-13,UW1.1,Mr
Psathyrella,Psathyrella sp.,2007-10-13,UW1.1,Hu
Laccaria,Laccaria laccata,2007-10-13,UW1.1,Mr
Russula,Russula sp.,2007-10-13,UW1.1,Mr
Stropharia,Stropharia aeruginosa,2007-10-13,UW1.1,Hu
Inocybe,Inocybe sp.,2007-10-13,UW1.1,Mr
Laccaria,Laccaria laccata,2007-10-14,UW1.1,Mr
Tricholoma,Tricholoma sulphureum,2007-10-14,UW1.1,Mr
Inocybe,Inocybe sp.,2007-10-14,UW1.1,Mr
Cortinarius,Cortinarius olivaceofuscus,2007-10-14,UW1.1,Mr
Lepiota,Lepiota sp.,2007-10-14,UW1.1,St
Tricholoma,Tricholoma scalpturatum,2007-10-14,UW1.1,Mr
Mycena,Mycena pura,2007-10-14,UW1.1,St
Inocybe,Inocybe geophylla var. lilacina,2007-10-14,UW1.1,Mr
Tricholoma,Tricholoma scalpturatum,2007-10-14,UW1.1,Mr
Clitocybe,Clitocybe dealbata,2007-10-14,UW1.1,St
Tricholoma,Tricholoma scalpturatum,2007-10-14,UW1.1,Mr
Megacollybia,Megacollybia platyphylla,2007-10-14,UW1.1,Lh
Inocybe,Inocybe muricellata,2007-10-14,UW1.1,Mr
Cortinarius,Cortinarius fulmineus,2007-10-15,UW1.1,Mr
Lepista,Lepista personata,2007-10-25,T2.3,St
Laccaria,Laccaria laccata,2007-11-01,T2.3,Mr
Pseudoclitocybe,Pseudoclitocybe cyathiformis,2007-11-01,T1.2,St
Psathyrella,Psathyrella sp.,2007-11-03,UW1.1,Hu
Psathyrella,Psathyrella sp.,2007-11-03,UW1.1,Hu
Hygrophorus,Hygrophorus sp.,2007-11-03,UW1.1,Mr
Agaricus,Agaricus sp.,2007-11-03,UW1.1,Hu
Pseudoclitocybe,Pseudoclitocybe cyathiformis,2007-11-03,UW1.1,Hu
Xerocomellus,Xerocomellus chrysenteron,2007-11-03,UW1.1,Mr
Amanita,Amanita rubescens,2007-11-03,UW1.1,Mr
Pluteus,Pluteus salicinus,2007-11-03,UW1.1,Le
Psathyrella,Psathyrella sp.,2007-11-03,UW1.1,Hu
Entoloma,Entoloma sp.,2007-11-03,UW1.1,Mr
